Unnamed: 0,county_code,name,address,lat,lon
192,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
193,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
194,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
195,5,,551 SAN FRANCISCO RD PAGE AZ 86040,36.90479,-111.46711
196,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
197,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
198,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
199,5,,697 VISTA AVE PAGE AZ 86040,36.91915,-111.46122
200,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
201,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
202,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
203,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
204,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
205,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
206,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
207,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
208,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
209,5,,25 CHAPEL RD SEDONA AZ 86339,34.83249,-111.77642
210,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
211,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
212,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
213,5,,25 CHAPEL RD SEDONA AZ 86339,34.83249,-111.77642
214,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
215,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
216,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
217,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
218,5,,6555 TOWNSEND WINONA RD FLAGSTAFF AZ 86004,35.24959,-111.53272
219,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
220,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
221,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
222,5,,6555 TOWNSEND WINONA RD FLAGSTAFF AZ 86004,35.24959,-111.53272
223,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
224,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
225,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
226,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
227,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
228,5,,TOLANI LAKE CHAPTER HOUSE TOLANI LAKE AZ 86047,35.43365,-110.846
229,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
230,5,,TONALEA SENIOR CITIZEN CENTER TONALEA AZ 86044,36.32249,-110.96348
231,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
232,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
233,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
